variable,comparison,effect_size,ci_lower,ci_upper,interpretation
Duration,affirmation vs feedback,-0.22100787355578272,-0.31490799168279243,-0.12133582408842698,small
Duration,affirmation vs other,0.47820401073331636,0.3230609198226038,0.6437046424429653,small
Duration,feedback vs other,0.6051562866748383,0.5599711784826752,0.6511804664954447,medium
Amplitude,affirmation vs feedback,0.328798863072853,0.18124915169985156,0.48323258056555823,small
Amplitude,affirmation vs other,0.48844460179666394,0.3155057977922653,0.6632873048713,small
Amplitude,feedback vs other,0.1084498748928257,0.05785748483909002,0.1599126557643385,negligible
Velocity,affirmation vs feedback,0.41966329075946296,0.2574000144209693,0.5958513975916426,small
Velocity,affirmation vs other,0.06516678468033144,-0.06685787587667386,0.21301995283484146,negligible
Velocity,feedback vs other,-0.31172062065398604,-0.3672617933546624,-0.2593759204170726,small
