variable,comparison,effect_size,ci_lower,ci_upper,interpretation,observed_power,power_adequate,effect_size_ci,power_status
Duration,affirmation vs feedback,-0.22100787355578272,-0.31490799168279243,-0.12133582408842698,small,0.8658386466644228,TRUE,"-0.221 [-0.315, -0.121]",Adequate (≥0.8)
Duration,affirmation vs other,0.47820401073331636,0.3230609198226038,0.6437046424429653,small,0.9999983047236307,TRUE,"0.478 [0.323, 0.644]",Adequate (≥0.8)
Duration,feedback vs other,0.6051562866748383,0.5599711784826752,0.6511804664954447,medium,1.000000000001611,TRUE,"0.605 [0.560, 0.651]",Adequate (≥0.8)
Amplitude,affirmation vs feedback,0.328798863072853,0.18124915169985156,0.48323258056555823,small,0.9953758031425463,TRUE,"0.329 [0.181, 0.483]",Adequate (≥0.8)
Amplitude,affirmation vs other,0.48844460179666394,0.3155057977922653,0.6632873048713,small,0.9999991538618136,TRUE,"0.488 [0.316, 0.663]",Adequate (≥0.8)
Amplitude,feedback vs other,0.1084498748928257,0.05785748483909002,0.1599126557643385,negligible,0.9869450071807822,TRUE,"0.108 [0.058, 0.160]",Adequate (≥0.8)
Velocity,affirmation vs feedback,0.41966329075946296,0.2574000144209693,0.5958513975916426,small,0.9999441464892138,TRUE,"0.420 [0.257, 0.596]",Adequate (≥0.8)
Velocity,affirmation vs other,0.06516678468033144,-0.06685787587667386,0.21301995283484146,negligible,0.14673643314964546,FALSE,"0.065 [-0.067, 0.213]",Inadequate (<0.8)
Velocity,feedback vs other,-0.31172062065398604,-0.3672617933546624,-0.2593759204170726,small,1.0000000000016958,TRUE,"-0.312 [-0.367, -0.259]",Adequate (≥0.8)
